"Qty";"Value";"Device";"Package";"Parts";"Description";"MATERIAL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SF_ID";"SPICEPREFIX";"SUPPLIER";"VALUE";
"1";"ATM90E36";"ATM90E36";"TQFP48";"IC1";"ATMEL Poly-phase energy metering";"";"";"";"unknown";"unknown";"";"";"";"";"";"";
"2";"BSS138";"MOSFET-NCH-BSS138";"SOT23-3";"Q1, Q2";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-00830";"";"";"";"220mA/50V/3.5Ω";
"2";"CLP-106-02-F-D-P";"CLP-106-02-F-D-P";"CLP-106-02-X-D";"U$7, U$8";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"FUSE_2410";"FUSE_2410";"2410_F";"U$1, U$2, U$3";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ISOLATED_2P";"ISOLATED_2P";"STRIP_NOMIDDLE";"U$6";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OPA2171";"OPA2171";"SO08";"U$10";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"U$9";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";"";"";"";"";"";"";
"3";"S07K11";"S07K11";"S07K11";"MOV1, MOV2, MOV3";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"SI8441IS1";"SI8441IS1";"SO16";"U$5";"Si8441 4 Channel (3/1) Digital Isolator";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F103CBT6";"STM32F103CBT6";"QFP50P900X900X160-48N";"U2";"Medium-density performance line ARM-based 32-bit MCU";"";"";"STM32F103CBT6";"1606327";"11N8296";"QFP-48";"";"";"";"STMICROELECTRONICS";"";
"6";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"TP1, TP2, TP3, TP4, TP5, TP6";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB-MICROB";"USB-MICROB";"USB-MICROB";"X3";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";
